0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,52232.0,,,27482.0,26132.0,23432.0,,10832.0,7682.0,,,19832.0,,26582.0,,,
,52232.0,,,27482.0,27932.0,23432.0,,18482.0,7682.0,,,15782.0,,36032.0,,,
,36032.0,,,25682.0,27932.0,31082.0,,17582.0,70232.0,,,27932.0,,18032.0,,,
,63032.0,,,25682.0,27932.0,28832.0,,17582.0,46832.0,,,71132.0,,27482.0,,,
,58082.0,,,25682.0,27932.0,18932.0,,16682.0,17582.0,,,45032.0,,,,,
,58082.0,,,29552.0,27932.0,15332.0,,16682.0,31982.0,,,24782.0,,,,,
,57632.0,,,29282.0,27932.0,15332.0,,11732.0,31982.0,,,12632.0,,,,,
,67532.0,,,29282.0,65282.0,15332.0,,11732.0,31982.0,,,26132.0,,,,,
,37382.0,,,29282.0,48632.0,15332.0,,11732.0,31982.0,,,23432.0,,,,,
,47732.0,,,29282.0,28832.0,115232.0,,48182.0,16682.0,,,20732.0,,,,,
,47732.0,,,28292.0,31532.0,13532.0,,25232.0,18032.0,,,16232.0,,,,,
,47732.0,,,35132.0,30632.0,13982.0,,19382.0,13532.0,,,25232.0,,,,,
,47732.0,,,35132.0,30632.0,13982.0,,44582.0,19382.0,,,13082.0,,,,,
,47732.0,,,33782.0,34682.0,13982.0,,44582.0,25232.0,,,11282.0,,,,,
,41432.0,,,33782.0,34682.0,13982.0,,44582.0,30632.0,,,10382.0,,,,,
,39632.0,,,33782.0,39632.0,91832.0,,36932.0,8582.0,,,10382.0,,,,,
,39182.0,,,31532.0,39632.0,26132.0,,36932.0,8132.0,,,18482.0,,,,,
,39182.0,,,31532.0,38732.0,26132.0,,40982.0,7232.0,,,18482.0,,,,,
,39182.0,,,31532.0,37832.0,29282.0,,40532.0,13532.0,,,43232.0,,,,,
,39182.0,,,10382.0,37832.0,29282.0,,40082.0,13532.0,,,12632.0,,,,,
,30632.0,,,25232.0,27482.0,24782.0,,13082.0,26132.0,,,13982.0,,,,,
,33332.0,,,51332.0,31982.0,49532.0,,8672.0,10382.0,,,33782.0,,,,,
,33332.0,,,72032.0,47282.0,30182.0,,8672.0,19382.0,,,15332.0,,,,,
